State,Year,Crimerate,AverageTemp
Alabama,66900,419.8,62.8
Alaska,184300,610.1,26.6
Arizona,121700,414.2,60.3
Arkansas,80700,482.3,60.4
California,240700,411.2,59.4
Colorado,148500,314.4,45.1
Connecticut,171500,275.7,49
Delaware,136900,566.4,55.3
DC,382900,1200.8,53
Florida,83500,514.6,70.7
Georgia,76400,374.6,63.5
Hawaii,337600,251.4,70
Idaho,111300,202.2,44.4
Illinois,107500,424,51.8
Indiana,67400,331.8,51.7
Iowa,95000,257.3,47.8
Kansas,64100,355.7,54.3
Kentucky,98900,239.6,55.6
Maryland,163700,493.5,54.2
Massachusetts,220200,427.3,47.9
Michigan,64200,442.8,44.4
Minnesota,122100,230.5,41.2
Mississippi,81000,269,63.4
Missouri,84500,447.5,54.5
Montana,144500,276.1,42.7
Nebraska,88000,253.6,48.8
Nevada,75100,568.1,49.9
New Hampshire,154700,217.3,43.8
New Jersey,203100,307.9,52.7
New Mexico,132200,572.7,53.4
New York,119200,397.2,45.4
North Carolina,91700,346.3,59
North Dakota,149900,248.1,40.4
Ohio,71600,305.2,50.7
Oklahoma,51600,457.5,59.6
Oregon,157800,249.3,48.4
Pennsylvania,113100,362.4,48.8
Rhode Island,170200,246.1,50.1
South Carolina,90000,596.9,62.4
South Dakota,120500,255.6,45.2
Tennessee,80400,607.8,57.6
Texas,85900,408.6,64.8
Utah,144900,197.1,48.6
Vermont,179700,147.6,42.9
Virginia,146100,197.6,55.1
Washington,172100,295.3,48.3
West Virginia,79900,296.3,51.8
Wisconsin,105600,249.9,43.1
Wyoming,161600,219.4,42
