month,California,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
1,257300,142200,76300,103100,104100,62700,75600,103400,98300,186400,198200,173200,222600,76000,94900,104100,75900,154500,97300,112000,139600,91900,83700,82700,167600,57200,119200,87500,87000,63100,153300,79300,118500,90100,78400,147200,313900,105700,145100,138800,123600,85600,146500,124600,171600,359000,155700
2,259700,142500,76900,103600,105200,63300,76100,104300,97900,186900,199600,174900,223600,76100,93800,103900,76300,154200,97200,112500,140000,92500,84000,83200,168600,57400,118800,88100,88600,63200,154300,79400,119500,89800,79400,147000,316100,105900,145200,139800,122400,87000,144600,125500,169800,360200,157000
3,262600,143200,78000,104100,105800,63600,76400,105600,98000,186500,200700,176100,224900,74800,93100,104600,76200,154500,97300,113000,141000,93100,84700,83200,169900,57000,118800,87200,89300,62100,153100,80200,119500,90400,79700,144600,318500,106300,145400,137600,123600,86200,143000,125200,169300,361900,155700
4,266600,144300,79500,105200,105900,63400,76600,107000,98700,186900,202000,177000,226600,72000,92300,106000,75400,154900,97200,113000,142400,93000,85900,82700,171500,56300,120000,84700,87800,59700,148100,81100,114900,88400,78900,139200,320900,107100,146400,130800,128700,82100,140900,125300,169000,364600,148500
5,270000,145500,80900,106500,106000,62900,76500,108400,99600,186900,202900,177800,228100,68900,91300,106700,74300,155300,96400,113000,143500,92300,86500,82300,172700,55500,121100,82300,85800,57400,141600,81300,107800,85300,78400,133700,322400,107100,147500,125200,133700,77700,139200,126200,168500,366200,139900
6,271800,146000,81800,107300,106200,62600,76600,109800,100100,185900,203200,178900,229000,67100,91000,106900,73800,155700,95700,113400,144200,91800,86700,82200,173200,54600,121200,81000,85400,56300,138100,81000,103200,83400,78100,130600,323600,107000,147700,121800,135500,75700,139400,125900,166300,365600,135900
7,272900,146000,82600,108100,106400,62300,76900,110900,100300,184800,202800,179800,229500,66200,91600,107600,73900,156100,95700,114300,145300,91100,87100,82200,173600,54000,120700,79900,85700,56100,137000,80800,100400,82400,77200,128100,324300,107400,148000,119500,135800,75300,139100,124700,164000,364500,135300
8,274300,145800,83300,109000,106800,62000,77100,112000,100200,185100,202100,180800,229900,66100,91600,108000,74100,156400,95900,114900,146300,90100,87600,82200,174300,54100,120300,79300,86600,56600,137200,80400,98600,82000,76300,126000,325200,107900,148800,118400,136100,75900,138300,123900,163700,363200,136200
9,275800,146400,83900,109700,107200,62100,77100,113100,100200,184600,201700,181200,230300,66000,91200,108200,74600,156300,95800,115400,147100,89200,87700,82200,175100,54600,120400,78600,87800,57400,137200,80000,97800,82100,75900,124700,326000,108700,149600,118400,137000,76600,137600,124100,165100,362700,136700
10,277500,146600,84400,110200,107700,62300,77500,113700,100500,183500,202200,181800,231100,65900,91400,108800,75000,156400,95700,116200,148400,89300,87800,82200,175900,54900,120400,78000,88800,57900,137300,80100,97100,82200,76200,124700,326100,109600,150200,118800,138500,77400,137200,125300,165800,362200,136800
11,279600,146500,84800,110600,107800,62500,77900,114500,100600,182400,203000,183000,232100,66100,92500,109600,75200,156200,95300,117000,150000,89900,88400,82200,176900,54700,120000,77800,89900,58500,138200,80800,97300,82200,77000,125100,325800,109000,150600,118700,139700,78100,137000,127300,164500,360900,136400
12,281600,146500,85300,111000,107400,62600,78000,115400,100400,181500,203200,184200,232900,66000,93100,110700,75200,155100,94600,117000,151300,90100,89000,82000,177600,54700,119500,77700,91000,59000,138900,81500,98800,80200,77900,124900,325700,108300,150700,118900,139400,79000,137500,128100,161900,359300,137100
